"sponsor","data_name","klarner_name","klarner_id","term","chamber","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"arndt, jeni","j. arndt","arndt, jeni",322656,"2017_2018","House",3.52632901554745,1,0.0459674049310489,0.0459674049310489,0.0536261491317671,0.0529578920175665,0.0533617929562433,38,38,36,35,27,6,6,6,6,3,32,32,30,29,24,0,0,0,0,0,3.56276657890058,38,0.921052631578947,0.710526315789474,NA
"hamner, millie","m. hamner","hamner, millie",309440,"2017_2018","House",3.10596088784356,2,0.038863351441705,0.038863351441705,0.0449438202247191,0.0454662877809352,0.0537175382426183,38,38,36,36,31,0,0,0,0,0,37,37,35,35,30,1,1,1,1,1,3.69681784096081,38,0.947368421052632,0.815789473684211,NA
"foote, mike","m. foote","foote, mike",309307,"2017_2018","House",2.57786664108682,3,0.0344755536982867,0.0344755536982867,0.0408580183861083,0.0387496770860243,0.0355745286374956,24,24,23,22,15,9,9,9,8,5,15,15,14,14,10,0,0,0,0,0,2.1955121160237,24,0.916666666666667,0.625,NA
"becker, jon","j. becker","becker, jon",296036,"2017_2018","House",2.24810448552476,4,0.030296698704555,0.030296698704555,0.0293667007150153,0.0297080857659519,0.0409107079331199,26,26,20,20,20,3,3,3,3,3,23,23,17,17,17,0,0,0,0,0,2.30036087551199,26,0.769230769230769,0.769230769230769,NA
"krafttharp, tracy","t. kraft-tharp","krafttharp, tracy",309358,"2017_2018","House",2.17543453492971,5,0.0271625574592562,0.0271625574592562,0.033197139938713,0.0322913975716869,0.0355745286374956,24,24,24,23,19,2,2,2,2,1,22,22,22,21,18,0,0,0,0,0,2.3504901344367,24,0.958333333333333,0.791666666666667,NA
"gray, matt","m. gray","gray, matt",362349,"2017_2018","House",2.1105441905639,6,0.0271625574592562,0.0271625574592562,0.0293667007150153,0.0297080857659519,0.0373532550693703,23,23,20,20,19,3,3,3,3,2,20,20,17,17,17,0,0,0,0,0,2.16894096586627,23,0.869565217391304,0.826086956521739,NA
"lee, pete","p. lee","lee, pete",283519,"2017_2018","House",1.95757768505534,7,0.0229837024655244,0.0229837024655244,0.0280898876404494,0.0284164298630845,0.0373532550693703,20,20,20,20,19,2,2,2,2,2,18,18,18,18,17,0,0,0,0,0,2.06574686267217,20,1,0.95,NA
"herod, leslie","l. herod","herod, leslie",362287,"2017_2018","House",1.8828711749166,8,0.0229837024655244,0.0229837024655244,0.0280898876404494,0.0284164298630845,0.032017075773746,19,19,19,19,16,3,3,3,3,2,16,16,16,16,14,0,0,0,0,0,1.90459661631275,19,1,0.842105263157895,NA
"ginal, joann","j. ginal","ginal, joann",309414,"2017_2018","House",1.83071006900604,9,0.0250731299623903,0.0250731299623903,0.0268130745658836,0.027124773960217,0.0266808964781217,19,19,16,16,12,5,5,5,5,3,14,14,11,11,9,0,0,0,0,0,1.66546901268668,19,0.842105263157895,0.631578947368421,NA
"becker, k. c.","k. becker","becker, k. c.",322574,"2017_2018","House",1.73345815463912,10,0.0229837024655244,0.0229837024655244,0.0280898876404494,0.0284164298630845,0.0213447171824973,15,15,15,15,7,7,7,7,7,5,8,8,8,8,2,0,0,0,0,0,1.34467305022993,15,1,0.466666666666667,NA
"esgar, daneya","d. esgar","esgar, daneya",322643,"2017_2018","House",1.70619921877481,11,0.0250731299623903,0.0250731299623903,0.0268130745658836,0.027124773960217,0.0177872643187478,20,20,17,17,8,4,4,4,4,2,16,16,13,13,6,0,0,0,0,0,1.6290386138848,20,0.85,0.4,NA
