bill_number,session,session_type,bill_type,title,keywords,status,primary_sponsors,sponsors,cosponsors,house_committee,senate_committee,long_title,summary,bill_url
HB22-1001,2022,RS,Bill,Reduce Fees For Bus Filings,State Government,Introduced; Passed; Became Law,Representative Lisa Cutter; Representative Tom Sullivan; Senator Brittany Pettersen; Senator Chris Kolker,,Rep. J. Bacon; Rep. T. Bernett; Rep. S. Bird; Rep. A. Boesenecker; Rep. D. Esgar; Rep. T. Exum; Rep. A. Garnett; Rep. M. Gray; Rep. L. Herod; Rep. I. Jodeh; Rep. M. Lindsay; Rep. J. McCluskie; Rep. B. McLachlan; Rep. K. Mullica; Rep. D. Ortiz; Rep. N. Ricks; Rep. D. Roberts; Rep. M. Snyder; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. M. Weissman; Rep. S. Woodrow; Sen. S. Jaquez Lewis; Sen. F. Winter; Sen. R. Zenzinger,Business Affairs & Labor,Finance,Concerning a transfer from the general fund to the department of state cash fund to allow the department of state to reduce business-related fees for state fiscal year 2022-23.,"The act requires the state treasurer to transfer $8,435,000 from the general fund to the department of state cash fund on July 1, 2022, for use by the department of state to offset the costs of reducing certain of the secretary of state's business-related fees during state fiscal year 2022-23. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1001
HB22-1002,2022,RS,Bill,Fifth Year High School Concurrent Enrollment,Education & School Finance (Pre & K-12),Introduced; Lost,Representative Mike Weissman; Representative Jennifer Bacon; Senator Buckner,,,Education,,Concerning expanding student access to enrollment in postsecondary courses while the student is enrolled in high school.,"Under current law, a qualified student who is selected to participate in the accelerating students through concurrent enrollment (ASCENT) program by the department of education (department) may enroll in postsecondary courses and be included in the pupil enrollment of a school district, board of cooperative services, or charter school (local education provider) for funding during the year following the student's fourth year of high school. The number of students who are selected to participate in the ASCENT program is limited each year through the budget process. The bill removes the limit on the number of program participants and allows each qualified student selected by the enrolling local education provider to participate in the program. The bill reduces the number of postsecondary credits a qualified student must have completed to be eligible to participate in the ASCENT program. The bill directs the department to distribute to each local education provider for each ASCENT program participant an amount equal to 3% of the per-pupil extended high school funding amount to pay for non-tuition expenses the qualified student incurs in participating in the postsecondary courses. Under existing law, a qualified student who fails to complete a concurrent enrollment course must repay the local education provider for the amount of tuition, and a local education provider may require a qualified student to repay the tuition amount if the qualified student earns a failing grade for a concurrent enrollment course. The bill repeals these provisions. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB22-1002
HB22-1003,2022,RS,Bill,Youth Delinquency Prevention And Intervention Grants,Children & Domestic Matters; State Government,Introduced; Passed; Became Law,Representative Lindsey Daugherty; Representative Serena Gonzales-Gutierrez; Senator James Coleman; Senator Nick Hinrichsen,,Rep. J. Amabile; Rep. J. Bacon; Rep. A. Benavidez; Rep. T. Bernett; Rep. S. Bird; Rep. A. Boesenecker; Rep. Y. Caraveo; Rep. L. Cutter; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. M. Gray; Rep. L. Herod; Rep. E. Hooton; Rep. I. Jodeh; Rep. C. Kennedy; Rep. C. Kipp; Rep. M. Lindsay; Rep. S. Lontine; Rep. J. McCluskie; Rep. K. McCormick; Rep. D. Michaelson Jenet; Rep. N. Ricks; Rep. E. Sirota; Rep. M. Snyder; Rep. T. Sullivan; Rep. K. Tipper; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. M. Weissman; Rep. S. Woodrow; Rep. M. Young; Sen. J. Bridges; Sen. J. Buckner; Sen. J. Danielson; Sen. K. Donovan; Sen. S. Fenberg; Sen. R. Fields; Sen. J. Ginal; Sen. J. Gonzales; Sen. C. Hansen; Sen. S. Jaquez Lewis; Sen. C. Kolker; Sen. P. Lee; Sen. D. Moreno; Sen. B. Pettersen; Sen. K. Priola; Sen. R. Rodriguez; Sen. T. Story; Sen. F. Winter; Sen. R. Zenzinger,Judiciary,Judiciary,"Concerning creating a grant program to fund projects that reduce crime among youth, and, in connection therewith, making an appropriation.","The act establishes the delinquency prevention and young offender intervention pilot grant program (program) in the division of criminal justice (division) within the department of public safety (department). The program awards 2-year grants to local governments, American Indian tribes, and nonprofit organizations to fund projects to reduce crime among youth. Preference is given to applicants whose projects demonstrate a community-based response in which multiple community-based partners coordinate to reduce youth involvement in the juvenile justice system. The division administers the program. The juvenile justice and delinquency prevention council serves as an advisory board for the program. The program is a 2-year pilot program. The act requires the general assembly to appropriate $2.1 million for the program in each of the next 2 fiscal years. The division provides annual reports to the general assembly about the program. In its hearing pursuant to the ""State Measurement for Accountable, Responsive, and Transparent (SMART) Government Act"" for the 2024 legislative session, the department shall report on the program and make a recommendation of whether to continue the program. The act appropriates $2,100,000 from the general fund to the department of public safety for state fiscal year 2022-23 for the program. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1003
HB22-1004,2022,RS,Bill,Driver License Fee Reduction,Transportation & Motor Vehicles,Introduced; Passed; Became Law,Representative David Ortiz; Representative Mary Young; Senator Rhonda Fields; Senator Chris Kolker,,Rep. S. Bird; Rep. D. Esgar; Rep. T. Exum; Rep. A. Garnett; Rep. M. Gray; Rep. L. Herod; Rep. E. Hooton; Rep. I. Jodeh; Rep. M. Lindsay; Rep. J. McCluskie; Rep. D. Michaelson Jenet; Rep. N. Ricks; Rep. D. Roberts; Rep. M. Snyder; Rep. D. Valdez; Rep. M. Weissman,Transportation & Local Government,Appropriations,Concerning a transfer from the general fund to the Colorado DRIVES vehicle services account in the highway users tax fund.,"The act requires the state treasurer to transfer $3,900,000 from the general fund to the Colorado DRIVES vehicle services account in the highway users tax fund. This transfer allows the department to maintain the current driver license fee while supporting the solvency of the fund. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1004
HB22-1005,2022,RS,Bill,Health-care Preceptors Tax Credit,Fiscal Policy & Taxes; Health Care & Health Insurance,Introduced; Passed; Became Law,Representative Julie McCluskie; Representative Perry Will; Senator Bob Rankin,,Rep. J. Amabile; Rep. T. Bernett; Rep. S. Bird; Rep. R. Bockenfeld; Rep. Y. Caraveo; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. I. Jodeh; Rep. C. Kipp; Rep. M. Lindsay; Rep. S. Lontine; Rep. B. McLachlan; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. R. Pelton; Rep. N. Ricks; Rep. D. Roberts; Rep. M. Soper; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. M. Weissman; Sen. K. Donovan; Sen. J. Ginal; Sen. J. Gonzales; Sen. C. Hansen; Sen. S. Jaquez Lewis; Sen. P. Lee; Sen. D. Moreno; Sen. B. Pettersen; Sen. K. Priola; Sen. F. Winter,Health & Insurance,Finance,Concerning modifications to the existing tax credit for rural and frontier health-care preceptors.,"Under existing law, for tax years commencing on or after January 1, 2017, but prior to January 1, 2023, the credit for health-care preceptors working in health professional shortage areas offers an income tax credit in the amount of $1,000 to health-care professionals in rural and frontier areas who provide a preceptorship, an uncompensated mentoring experience for eligible health professional students that includes a specified minimum amount of personalized instruction, training, and supervision, during the applicable income tax year. The act modifies the tax credit by: Extending the period for which the tax credit may be claimed to tax years commencing prior to January 1, 2033; Allowing up to 300, rather than 200, preceptors to claim the credit in any tax year; Expanding who may offer a preceptorship to include, in addition to a medical doctor, doctor of osteopathic medicine, advanced practice nurse, physician assistant, doctor of dental surgery, or doctor of dental medicine as provided by existing law, a registered nurse, registered dental hygienist, pharmacist, licensed clinical or counseling psychologist, licensed clinical social worker, licensed professional counselor, licensed marriage and family therapist, psychiatric nurse specialist, licensed addiction counselor, or certified addiction counselor working in an outpatient clinical setting who has been licensed in his or her primary health-care field in the state by the applicable licensing authority; Expanding who may participate in a preceptorship to include individuals matriculating at any accredited Colorado institution of higher education seeking a degree or certification in a primary health-care field; Allowing nonconsecutive days to be counted when determining the eligibility of a preceptorship for the credit; Modifying the definitions of ""rural areas"", ""preceptorship"", and ""primary health-care"" for purposes of the tax credit; Modifying the certification requirements for taxpayers who claim the tax credit; and Providing a tax preference performance statement for the tax credit. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1005
HB22-1006,2022,RS,Bill,Child Care Center Property Tax Exemption,Local Government; Fiscal Policy & Taxes,Introduced; Passed; Became Law,Representative Dylan Roberts; Representative Kevin Van Winkle; Senator Kerry Donovan; Senator Jim Smallwood,,Rep. J. Bacon; Rep. T. Bernett; Rep. S. Bird; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. L. Herod; Rep. E. Hooton; Rep. I. Jodeh; Rep. C. Kipp; Rep. M. Lindsay; Rep. S. Lontine; Rep. J. McCluskie; Rep. K. McCormick; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. A. Pico; Rep. N. Ricks; Rep. S. Sandridge; Rep. E. Sirota; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. T. Van Beber; Rep. D. Williams; Rep. M. Young; Sen. J. Buckner; Sen. J. Danielson; Sen. S. Fenberg; Sen. R. Fields; Sen. J. Ginal; Sen. J. Gonzales; Sen. N. Hinrichsen; Sen. D. Hisey; Sen. S. Jaquez Lewis; Sen. P. Lee; Sen. D. Moreno; Sen. B. Pettersen; Sen. K. Priola; Sen. C. Simpson; Sen. J. Sonnenberg; Sen. T. Story; Sen. F. Winter; Sen. R. Zenzinger,Public & Behavioral Health & Human Services,Finance,Concerning the property tax exemption for property used as an integral part of a child care center.,"The act repeals the requirements that property must be owned for strictly charitable purposes and not for private gain or corporate profit and that the property must be irrevocably dedicated to a charitable purpose in order for the property to qualify for the property tax exemption for property used as an integral part of a child care center. These changes allow property that is used by a tenant or subtenant to operate a child care center to be eligible for the exemption, and the act specifies that in such case, only the operator's use is to be considered for purposes of determining whether the property is eligible for the exemption. An operator of an eligible facility, or the operator's authorized agent, is required to sign the exemption application form and to provide the property tax administrator with any requested information related to the exemption. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1006
HB22-1007,2022,RS,Bill,Assistance Landowner Wildfire Mitigation,State Government,Introduced; Passed; Became Law,Representative Donald Valdez; Representative Mike Lynch; Senator Simpson; Senator Pete Lee,Rep. L. Cutter; Rep. P. Will; Sen. J. Ginal; Sen. T. Story,Rep. J. Amabile; Rep. J. Bacon; Rep. A. Benavidez; Rep. T. Bernett; Rep. S. Bird; Rep. A. Boesenecker; Rep. T. Carver; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. S. Gonzales-Gutierrez; Rep. L. Herod; Rep. E. Hooton; Rep. I. Jodeh; Rep. C. Kipp; Rep. M. Lindsay; Rep. S. Lontine; Rep. J. McCluskie; Rep. K. McCormick; Rep. B. McLachlan; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. D. Ortiz; Rep. N. Ricks; Rep. D. Roberts; Rep. S. Sandridge; Rep. M. Snyder; Rep. B. Titone; Rep. M. Weissman; Rep. S. Woodrow; Sen. J. Bridges; Sen. J. Buckner; Sen. J. Cooke; Sen. J. Danielson; Sen. K. Donovan; Sen. S. Fenberg; Sen. R. Fields; Sen. B. Gardner; Sen. J. Gonzales; Sen. C. Hansen; Sen. C. Holbert; Sen. S. Jaquez Lewis; Sen. L. Liston; Sen. P. Lundeen; Sen. D. Moreno; Sen. B. Pettersen; Sen. B. Rankin; Sen. J. Sonnenberg; Sen. R. Woodward,Energy & Environment,Finance,Concerning wildfire mitigation assistance for landowners.,"The act establishes the wildfire mitigation resources and best practices grant program (grant program) within the Colorado state forest service (forest service). To be eligible to receive a grant, a recipient must be an agency of local government, a county, a municipality, a special district, a tribal agency or program, or a nonprofit organization. The forest service is tasked with reviewing grant applications. Grants must be awarded only to applicants proposing to conduct outreach among landowners in high wildfire hazard areas, and the forest service must consider the potential impact of an applicant's proposed outreach when awarding grants. The forest service must report to the wildfire matters review committee on the grant program. Commencing no later than the 2023-24 state fiscal year, the act requires the general assembly to annually appropriate money from the general fund to the healthy forests and vibrant communities fund to implement the grant program. The act extends the existing income tax deduction created to offset the landowner's costs incurred in performing wildfire mitigation measures, currently set to expire with the 2024 income tax year, through the 2025 income tax year. The act also creates a state income tax credit to reimburse a landowner for the costs incurred in performing wildfire mitigation measures on the landowner's property. Specifically, a landowner with a federal taxable income at or below $120,000, annually adjusted for inflation and rounded to the nearest hundred dollars, for any income tax year commencing on or after January 1, 2023, but prior to January 1, 2026, is allowed a state income tax credit in an amount equal to 25% of up to $2,500 in costs for wildfire mitigation measures. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1007
HB22-1008,2022,RS,Bill,Implementation Of Fertility Coverage,Health Care & Health Insurance,Introduced; Passed; Became Law,Representative Kerry Tipper; Representative Matt Soper; Senator Stephen Fenberg; Senator Faith Winter,Rep. D. Ortiz,Rep. J. Amabile; Rep. J. Bacon; Rep. T. Bernett; Rep. S. Bird; Rep. A. Boesenecker; Rep. Y. Caraveo; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. A. Garnett; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. L. Herod; Rep. E. Hooton; Rep. I. Jodeh; Rep. M. Lindsay; Rep. J. McCluskie; Rep. K. McCormick; Rep. B. McLachlan; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. N. Ricks; Rep. D. Roberts; Rep. E. Sirota; Rep. T. Sullivan; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. M. Weissman; Rep. M. Young; Sen. J. Buckner; Sen. R. Fields; Sen. J. Ginal; Sen. J. Gonzales; Sen. C. Hansen; Sen. N. Hinrichsen; Sen. C. Kolker; Sen. D. Moreno; Sen. B. Pettersen; Sen. R. Rodriguez; Sen. T. Story; Sen. R. Zenzinger,Health & Insurance,Health & Human Services,Concerning the federal requirements for the implementation of fertility coverage under health benefit plans.,"With respect to mandatory coverage for fertility diagnosis and treatment and fertility preservation services (fertility services) under health benefit plans, the act requires large employer health benefit plans issued or renewed in this state on or after January 1, 2023, to cover fertility services and requires the division of insurance to implement the coverage requirement. In addition, for individual and small group policies and contracts, the act requires coverage for fertility services under individual and small group policies and contracts issued or renewed in this state 12 months after the federal department of health and human services determines that coverage for fertility services does not require defrayal by the state, and requires the division to implement the fertility services coverage requirement once effective. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1008
HB22-1009,2022,RS,Bill,Continue Workforce Diploma Pilot Program,Education & School Finance (Pre & K-12),Introduced; Lost,Representative Matt Gray; Representative Tom Sullivan; Senator Rachel Zenzinger,,,Education,,Concerning continuing the workforce diploma pilot program as the workforce diploma program.,"The workforce diploma pilot program was established in 2019 as a pilot program scheduled to repeal on July 1, 2022. The bill continues the pilot program indefinitely as the workforce diploma program (program). The bill requires the department of education to annually adjust the amounts paid to qualified providers under the program in accordance with the corresponding percentage change in the consumer price index. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB22-1009
HB22-1010,2022,RS,Bill,Early Childhood Educator Income Tax Credit,Fiscal Policy & Taxes,Introduced; Passed; Became Law,Representative Emily Sirota; Representative Tonya Van Beber; Senator Janet Buckner; Senator Barbara Kirkmeyer,Rep. C. Kipp; Sen. T. Story,Rep. J. Amabile; Rep. J. Bacon; Rep. T. Bernett; Rep. S. Bird; Rep. A. Boesenecker; Rep. Y. Caraveo; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. A. Garnett; Rep. S. Gonzales-Gutierrez; Rep. M. Gray; Rep. L. Herod; Rep. E. Hooton; Rep. I. Jodeh; Rep. M. Lindsay; Rep. S. Lontine; Rep. J. McCluskie; Rep. K. McCormick; Rep. B. McLachlan; Rep. D. Michaelson Jenet; Rep. N. Ricks; Rep. D. Roberts; Rep. M. Snyder; Rep. K. Tipper; Rep. B. Titone; Rep. A. Valdez; Rep. M. Weissman; Rep. S. Woodrow; Rep. M. Young; Sen. J. Bridges; Sen. S. Fenberg; Sen. R. Fields; Sen. J. Ginal; Sen. N. Hinrichsen; Sen. S. Jaquez Lewis; Sen. P. Lee; Sen. B. Pettersen; Sen. R. Zenzinger,Education,Finance,"Concerning an income tax credit for eligible early childhood educators, and in connection therewith, making an appropriation.","For 4 income tax years beginning in 2022, the act creates a refundable income tax credit for an early childhood educator who: Has an adjusted gross income that is less than or equal to $75,000 for an individual filing a single return or $150,000 for an individual filing a joint return; Holds an early childhood professional credential for at least part of the income tax year; and For at least 6 months of the income tax year, is either the licensee or employee of an ""eligible program"", as defined by the act. The amount of the credit is dependent on the eligible early childhood educator's credentialing level, with higher levels receiving a larger credit, and is annually adjusted for inflation. The department of human services, or a successor department, is required to annually provide the department of revenue with an electronic report of each individual who held an early childhood professional credential during the previous calendar year for which the credit is allowed. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1010
HB22-1011,2022,RS,Bill,Wildfire Mitigation Incentives For Local Governments,Local Government,Introduced; Passed; Became Law,Representative Lisa Cutter; Representative Marc Snyder; Senator Tammy Story; Senator Pete Lee,Sen. J. Ginal,Rep. J. Amabile; Rep. T. Bernett; Rep. S. Bird; Rep. A. Boesenecker; Rep. L. Daugherty; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. S. Gonzales-Gutierrez; Rep. L. Herod; Rep. E. Hooton; Rep. I. Jodeh; Rep. C. Kipp; Rep. M. Lindsay; Rep. S. Lontine; Rep. M. Lynch; Rep. J. McCluskie; Rep. K. McCormick; Rep. B. McLachlan; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. N. Ricks; Rep. D. Roberts; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. M. Weissman; Rep. S. Woodrow; Sen. J. Bridges; Sen. J. Buckner; Sen. K. Donovan; Sen. S. Fenberg; Sen. J. Gonzales; Sen. C. Hansen; Sen. N. Hinrichsen; Sen. S. Jaquez Lewis; Sen. B. Pettersen; Sen. R. Rodriguez; Sen. C. Simpson; Sen. F. Winter,Energy & Environment,Appropriations,Concerning the establishment of a state grant program that provides funding to local governments that dedicate resources for wildfire mitigation purposes.,"The act establishes the wildfire mitigation incentives for local government grant program (grant program) in the Colorado state forest service (forest service). The grant program is established to provide state funding assistance in the form of grant awards to local governments to either match revenue raised by such governments from a dedicated revenue source or to expand existing programs administered by the local government on a long-term basis, which efforts are intended to be used for forest management or wildfire mitigation efforts at the local level. Such wildfire mitigation efforts include, without limitation, projects that promote fuel breaks, forest thinning, a reduction in the amount or extent of fuels contributing to wildfires, outreach and education efforts directed at property owners and other members of the public, and any other means of forest management or wildfire mitigation as determined appropriate for funding by the forest service. On or before March 1, 2023, the forest service is required to adopt polices, procedures, and guidelines for the grant program that include, without limitation: Procedures and timelines by which an eligible recipient may apply for a grant; Criteria for determining grant eligibility and grant amounts; and Reporting requirements for grant recipients. Any funding awarded under the grant program must match either revenues raised by the local government from a dedicated revenue source or supplement existing programs administered by the local government on a long-term basis, which efforts are intended to be used for forest management or wildfire mitigation efforts at the local level in accordance with policies, procedures, and guidelines developed by the forest service. A local government is eligible for funding under the grant program even in the absence of a dedicated revenue source if the local government has created and administers an existing program, project, or funding mechanism that creates long-term funding at the local level for wildfire mitigation or forest health or has created and administers other creative and innovative approaches for promoting wildfire mitigation and forest health. In allocating funding under the grant program, preference must be given to certain eligible recipients based on prioritization factors enumerated in the act. Eligible recipients may apply for funding from the grant program, and the recipient's application for funding may be approved by the forest service before the local government has created a dedicated revenue source that forms the basis for the match if the electors of the local government approve a ballot issue creating the revenue source at an election that takes place in the same calendar year in which the funding is awarded. The act creates the wildfire mitigation incentives local government grant program fund (fund) in the state treasury. On July 1, 2022, the state treasurer is required to transfer $10 million from the general fund to the fund. The forest service is to use the money transferred to fund awards under the grant program and pay the administrative costs of the forest service in administering the grant program. On or before November 1, 2024, and on or before November 1 of each year thereafter, the forest service is required to publish a report summarizing the use of all of the money that was awarded under the grant program in the preceding fiscal year. The act specifies additional required components of the report. The report must be posted on the website of the forest service. The act requires the Colorado department of higher education to summarize the information contained in the report in its ""State Measurement for Accountable, Responsive, and Transparent (SMART) Government Act"" hearings. The act requires the forest service to prepare educational materials concerning the grant program and to display such materials on its official website. The forest service is also required to undertake outreach activities to inform local governments located in priority areas for wildfire mitigation of the grant program. The grant program is repealed, effective September 1, 2027. Before its repeal, the department of regulatory agencies is required to review the grant program as part of the general assembly's review of regulatory agencies and functions for repeal, continuation, or reestablishment. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1011
HB22-1012,2022,RS,Bill,Wildfire Mitigation And Recovery,Higher Education; Local Government; Natural Resources & Environment,Introduced; Passed; Became Law,Representative Lisa Cutter; Representative Donald Valdez; Senator Joann Ginal; Senator Pete Lee,Rep. M. Lynch; Rep. M. Snyder; Sen. T. Story,Rep. J. Amabile; Rep. J. Bacon; Rep. T. Bernett; Rep. S. Bird; Rep. A. Boesenecker; Rep. Y. Caraveo; Rep. M. Duran; Rep. D. Esgar; Rep. T. Exum; Rep. M. Froelich; Rep. S. Gonzales-Gutierrez; Rep. L. Herod; Rep. E. Hooton; Rep. I. Jodeh; Rep. C. Kipp; Rep. M. Lindsay; Rep. S. Lontine; Rep. J. McCluskie; Rep. K. McCormick; Rep. B. McLachlan; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. D. Ortiz; Rep. N. Ricks; Rep. D. Roberts; Rep. B. Titone; Rep. A. Valdez; Rep. M. Weissman; Sen. J. Buckner; Sen. S. Fenberg; Sen. C. Hansen; Sen. S. Jaquez Lewis; Sen. B. Pettersen; Sen. B. Rankin; Sen. C. Simpson; Sen. F. Winter,Energy & Environment,Finance,"Concerning healthy forests, and, in connection therewith, making an appropriation.","The act requires the state forest service, on and after September 1, 2022, to develop a publicly accessible statewide carbon accounting framework that yields carbon stock and flux estimates for: Ecosystems by county and forest cover type; and Wood products. The state forest service must also develop a forest carbon co-benefit framework for project-level forest management practices, including wildfire mitigation. The state forest service must use this framework to train practitioners in adaptive management practices to be incorporated into current forest management practices, including wildfire mitigation. The state forest service must provide technical expertise to assist industry and landowners with carbon inventories and monitoring. The act also allows money from the existing healthy forests and vibrant communities fund to be used for new purposes, including the new statewide carbon accounting framework. For the 2022-23 state fiscal year, the act: Transfers $3,000,000 and appropriates $95,407 from the general fund to the healthy forests and vibrant communities fund; Transfers $2,200,000 from the general fund to the forest restoration and wildfire risk mitigation grant program cash fund; and Transfers $2,00,000 from the general fund to the wildfire mitigation capacity development fund. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1012
HB22-1013,2022,RS,Bill,Microgrids For Community Resilience Grant Program,Energy,Introduced; Passed; Became Law,Representative Rod Pelton; Representative Marc Snyder; Senator Dennis Hisey; Senator Faith Winter,,Rep. J. Amabile; Rep. T. Bernett; Rep. S. Bird; Rep. A. Boesenecker; Rep. T. Carver; Rep. M. Catlin; Rep. L. Cutter; Rep. C. deGruy Kennedy; Rep. T. Exum; Rep. L. Herod; Rep. E. Hooton; Rep. C. Kipp; Rep. M. Lindsay; Rep. S. Lontine; Rep. J. McCluskie; Rep. K. McCormick; Rep. B. McLachlan; Rep. D. Michaelson Jenet; Rep. D. Ortiz; Rep. A. Pico; Rep. N. Ricks; Rep. D. Roberts; Rep. B. Titone; Rep. A. Valdez; Rep. D. Valdez; Rep. S. Woodrow; Rep. M. Young; Sen. J. Buckner; Sen. S. Fenberg; Sen. J. Ginal; Sen. J. Gonzales; Sen. C. Hansen; Sen. S. Jaquez Lewis; Sen. P. Lee; Sen. B. Pettersen; Sen. B. Rankin; Sen. T. Story,Energy & Environment,Transportation & Energy,"Concerning the creation of a grant program to build community resilience regarding electric grid disruptions through the development of microgrids, and, in connection therewith, making an appropriation.","The act creates the microgrids for community resilience grant program (grant program) to be administered by the division of local government (division) in the department of local affairs (department), in collaboration with the Colorado resiliency office in the division and the Colorado energy office. A cooperative electric association or a municipally owned utility (utility) may apply to the division for a grant award to finance the purchase of microgrid resources in eligible rural communities within the utility's service territory that are at significant risk of experiencing severe weather or natural disaster events and in which one or more community anchor institutions, which institutions are important community, educational, health care, or other institutions, are located. The microgrids, which can be connected to or be disconnected from, and work independent of, the utility's electric grid, can increase an eligible rural community's ability to avoid or remediate interruptions to the electric grid, such as those caused by severe weather or natural disaster events. On an annual basis commencing in 2023, the division is required to: Report on the progress of the grant program, including information on the number of grants awarded and the amount of money awarded for each grant; Submit copies of the report to the house of representatives energy and environment committee and the senate transportation and energy committee, or their successor committees; and Publish the report on the department's website. For state fiscal year 2022-23, the bill appropriates from the general fund: $3,500,000 to the department for use by the division for implementation of the grant program; and $20,713 to the office of the governor for use by the Colorado energy office for grant program administration. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1013
HB22-1014,2022,RS,Bill,Epilepsy Awareness Special License Plate,Transportation & Motor Vehicles,Introduced; Passed; Became Law,Representative Iman Jodeh; Senator Brittany Pettersen,,Rep. S. Bird; Rep. L. Cutter; Rep. M. Duran; Rep. T. Exum; Rep. A. Garnett; Rep. E. Hooton; Rep. C. Kipp; Rep. M. Lindsay; Rep. D. Michaelson Jenet; Rep. K. Mullica; Rep. D. Ortiz; Rep. D. Roberts; Rep. T. Sullivan; Rep. A. Valdez; Rep. M. Young; Sen. J. Buckner; Sen. R. Fields,Finance,Finance,"Concerning the creation of an epilepsy awareness special license plate, and, in connection therewith, making an appropriation.","The act creates the epilepsy awareness license plate for motor vehicles. The department of revenue must designate a nonprofit organization to qualify applicants for issuance of the license plate. The organization must: Be headquartered in Colorado; Have been in existence for at least 5 years; Be a nonprofit organization; Provide education to the public about epilepsy; Offer programs for youth and adults with epilepsy; and Fund services and support for those affected by epilepsy. An applicant qualifies for issuance of the license plate if the applicant makes a donation to the organization and pays all required taxes and fees. In addition to the standard motor vehicle fees, the applicant must pay 2 one-time fees of $25 for issuance of the license plate. One fee is credited to the highway users tax fund and the other to the licensing services cash fund. For the 2022-23 state fiscal year, $29,671 is appropriated for use by the division of motor vehicles in the department of revenue (department) to implement the act, of which amount $3,168 is reappropriated to the office of the governor for use by the office of information technology to provide information technology services for the department. (Note: This summary applies to this bill as enacted.)",https://leg.colorado.gov/bills/HB22-1014
HB22-1015,2022,RS,Bill,Off-label Use Of Approved Drugs To Treat COVID-19,Health Care & Health Insurance; Professions & Occupations,Introduced; Lost,Representative Stephanie Luck; Senator Dennis Hisey; Senator Jerry Sonnenberg,Rep. T. Geitner; Rep. A. Pico; Rep. K. Ransom; Rep. J. Rich; Rep. D. Williams; Sen. R. Woodward,,Health & Insurance,,Concerning the ability of certain health-care providers to repurpose therapeutic drugs that have been approved by the federal food and drug administration for another purpose to provide treatment to individuals with COVID-19.,"The bill specifies that: A physician, physician assistant, or advanced practice registered nurse with prescriptive authority may prescribe and dispense, and a pharmacist may dispense, therapeutic drugs for off-label use, including hydroxychloroquine sulfate and ivermectin, to provide prophylaxis or outpatient (at-home) and inpatient (hospital) treatment to an individual with COVID-19; and This practice is not unprofessional conduct or otherwise grounds for discipline. (Note: This summary applies to this bill as introduced.)",https://leg.colorado.gov/bills/HB22-1015
